2014/06/16 23:48:33 [T] [J?79288331] STATE:OK
2014/06/16 23:48:33 [T] [JX79288316] STATE:OK
2014/06/16 23:48:33 [T] [PO62940613] STATE:OK
2014/06/16 23:48:33 [T] [PO62940669] STATE:OK
2014/06/16 23:48:33 [T] [PO62940687] STATE:OK
2014/06/16 23:48:33 [T] [J?79288331] STATE:OK
2014/06/16 23:48:33 [T] [JX79288316] STATE:OK
2014/06/16 23:48:33 [T] [PO62940613] STATE:OK
2014/06/16 23:48:33 [T] [PO62940669] STATE:OK
2014/06/16 23:48:34 [T] [PO62940687] STATE:OK
2014/06/16 23:48:34 [T] [J?79288331] STATE:OK
2014/06/16 23:48:34 [T] [JX79288316] STATE:OK
2014/06/16 23:48:34 [T] [PO62940613] STATE:OK
2014/06/16 23:48:34 [T] [PO62940669] STATE:OK
2014/06/16 23:48:34 [T] [PO62940687] STATE:OK
2014/06/16 23:48:34 [T] [J?79288331] STATE:OK
2014/06/16 23:48:34 [T] [JX79288316] STATE:OK
2014/06/16 23:48:34 [T] [PO62940613] STATE:OK
2014/06/16 23:48:34 [T] [PO62940669] STATE:OK
2014/06/16 23:48:34 [T] [PO62940687] STATE:OK
2014/06/16 23:48:34 [T] [J?79288331] STATE:OK
2014/06/16 23:48:34 [T] [JX79288316] STATE:OK
2014/06/16 23:48:34 [T] [PO62940613] STATE:OK
2014/06/16 23:48:34 [T] [PO62940669] STATE:OK
2014/06/16 23:48:34 [T] [PO62940687] STATE:OK
2014/06/16 23:48:34 [T] [J?79288331] STATE:OK
2014/06/16 23:48:34 [T] [JX79288316] STATE:OK
2014/06/16 23:48:34 [T] [PO62940613] STATE:OK
2014/06/16 23:48:34 [T] [PO62940669] STATE:OK
2014/06/16 23:48:35 [T] [PO62940687] STATE:OK
2014/06/16 23:48:35 [T] [J?79288331] STATE:OK
2014/06/16 23:48:35 [T] [JX79288316] STATE:OK
2014/06/16 23:48:35 [T] [PO62940613] STATE:OK
2014/06/16 23:48:35 [T] [PO62940669] STATE:OK
2014/06/16 23:48:35 [T] [PO62940687] STATE:OK
2014/06/16 23:48:35 [T] [J?79288331] STATE:OK
2014/06/16 23:48:35 [T] [JX79288316] STATE:OK
2014/06/16 23:48:35 [T] [PO62940613] STATE:OK
2014/06/16 23:48:35 [T] [PO62940669] STATE:OK
2014/06/16 23:48:35 [T] [PO62940687] STATE:OK
2014/06/16 23:48:35 [T] [J?79288331] STATE:OK
2014/06/16 23:48:35 [T] [JX79288316] STATE:OK
2014/06/16 23:48:35 [T] [PO62940613] STATE:OK
2014/06/16 23:48:35 [T] [PO62940669] STATE:OK
2014/06/16 23:48:35 [T] [PO62940687] STATE:OK
2014/06/16 23:48:35 [T] [J?79288331] STATE:OK
2014/06/16 23:48:35 [T] [JX79288316] STATE:OK
2014/06/16 23:48:35 [T] [PO62940613] STATE:OK
2014/06/16 23:48:35 [T] [PO62940669] STATE:OK
2014/06/16 23:48:35 [T] [PO62940687] STATE:OK
2014/06/16 23:48:35 [T] [J?79288331] STATE:OK
2014/06/16 23:48:35 [T] [JX79288316] STATE:OK
2014/06/16 23:48:36 [T] [PO62940613] STATE:OK
2014/06/16 23:48:36 [T] [PO62940669] STATE:OK
2014/06/16 23:48:36 [T] [PO62940687] STATE:OK
2014/06/16 23:48:36 [T] [J?79288331] STATE:OK
2014/06/16 23:48:36 [T] [JX79288316] STATE:OK
2014/06/16 23:48:36 [T] [PO62940613] STATE:OK
2014/06/16 23:48:36 [T] [PO62940669] STATE:OK
2014/06/16 23:48:36 [T] [PO62940687] STATE:OK
2014/06/16 23:48:36 [T] [J?79288331] STATE:OK
2014/06/16 23:48:36 [T] [JX79288316] STATE:OK
2014/06/16 23:48:36 [T] [PO62940613] STATE:OK
2014/06/16 23:48:36 [T] [PO62940669] STATE:OK
2014/06/16 23:48:36 [T] [PO62940687] STATE:OK
2014/06/16 23:48:36 [T] [J?79288331] STATE:OK
2014/06/16 23:48:36 [T] [JX79288316] STATE:OK
2014/06/16 23:48:36 [T] [PO62940613] STATE:OK
2014/06/16 23:48:36 [T] [PO62940669] STATE:OK
2014/06/16 23:48:36 [T] [PO62940687] STATE:OK
2014/06/16 23:48:36 [T] [J?79288331] STATE:OK
2014/06/16 23:48:36 [T] [JX79288316] STATE:OK
2014/06/16 23:48:36 [T] [PO62940613] STATE:OK
2014/06/16 23:48:36 [T] [PO62940669] STATE:OK
2014/06/16 23:48:36 [T] [PO62940687] STATE:OK
2014/06/16 23:48:36 [T] [J?79288331] STATE:OK
2014/06/16 23:48:36 [T] [JX79288316] STATE:OK
2014/06/16 23:48:37 [T] [PO62940613] STATE:OK
2014/06/16 23:48:37 [T] [PO62940669] STATE:OK
2014/06/16 23:48:37 [T] [PO62940687] STATE:OK
2014/06/16 23:48:37 [T] [J?79288331] STATE:OK
2014/06/16 23:48:37 [T] [JX79288316] STATE:OK
2014/06/16 23:48:37 [T] [PO62940613] STATE:OK
2014/06/16 23:48:37 [T] [PO62940669] STATE:OK
2014/06/16 23:48:37 [T] [PO62940687] STATE:OK
2014/06/16 23:48:37 [T] [J?79288331] STATE:OK
2014/06/16 23:48:37 [T] [JX79288316] STATE:OK
2014/06/16 23:48:37 [T] [PO62940613] STATE:OK
2014/06/16 23:48:37 [T] [PO62940669] STATE:OK
2014/06/16 23:48:37 [T] [PO62940687] STATE:OK
2014/06/16 23:48:37 [T] [J?79288331] STATE:OK
2014/06/16 23:48:37 [T] [JX79288316] STATE:OK
2014/06/16 23:48:37 [T] [PO62940613] STATE:OK
2014/06/16 23:48:37 [T] [PO62940669] STATE:OK
2014/06/16 23:48:37 [T] [PO62940687] STATE:OK
2014/06/16 23:48:37 [T] [J?79288331] STATE:OK
2014/06/16 23:48:37 [T] [JX79288316] STATE:OK
2014/06/16 23:48:37 [T] [PO62940613] STATE:OK
2014/06/16 23:48:37 [T] [PO62940669] STATE:OK
2014/06/16 23:48:38 [T] [PO62940687] STATE:OK
2014/06/16 23:48:38 [T] [J?79288331] STATE:OK
2014/06/16 23:48:38 [T] [JX79288316] STATE:OK
2014/06/16 23:48:38 [T] [PO62940613] STATE:OK
2014/06/16 23:48:38 [T] [PO62940669] STATE:OK
2014/06/16 23:48:38 [T] [PO62940687] STATE:OK
2014/06/16 23:48:38 [T] [J?79288331] STATE:OK
2014/06/16 23:48:38 [T] [JX79288316] STATE:OK
2014/06/16 23:48:38 [T] [PO62940613] STATE:OK
2014/06/16 23:48:38 [T] [PO62940669] STATE:OK
2014/06/16 23:48:38 [T] [PO62940687] STATE:OK
2014/06/16 23:48:38 [T] [J?79288331] STATE:OK
2014/06/16 23:48:38 [T] [JX79288316] STATE:OK
2014/06/16 23:48:38 [T] [PO62940613] STATE:OK
2014/06/16 23:48:38 [T] [PO62940669] STATE:OK
2014/06/16 23:48:38 [T] [PO62940687] STATE:OK
2014/06/16 23:48:38 [T] [J?79288331] STATE:OK
2014/06/16 23:48:38 [T] [JX79288316] STATE:OK
